COUNTRY,YEAR,VEHICLE,FUEL,UNITS
Austria,2016,Sports Cars,Hybrid,96
Austria,2016,Sports Cars,Petrol,1708
Austria,2017,Executive Cars,Alternative,0
Austria,2017,Executive Cars,Diesel,6501
Austria,2017,Executive Cars,Electric,0
Austria,2017,Executive Cars,Hybrid,139
Austria,2017,Executive Cars,Petrol,780
Austria,2017,Large Cars,Alternative,13
Austria,2017,Large Cars,Diesel,20870
Austria,2017,Large Cars,Electric,2138
Austria,2017,Large Cars,Hybrid,156
Austria,2017,Large Cars,Petrol,4094
Austria,2017,Luxury Cars,Alternative,0
Austria,2017,Luxury Cars,Diesel,479
Austria,2017,Luxury Cars,Electric,0
Austria,2017,Luxury Cars,Hybrid,184
Austria,2017,Luxury Cars,Petrol,267
Austria,2017,Medium Cars,Alternative,149
Austria,2017,Medium Cars,Diesel,39907
Austria,2017,Medium Cars,Electric,2075
Austria,2017,Medium Cars,Hybrid,313
Austria,2017,Medium Cars,Petrol,35858
Austria,2017,Mini Cars,Alternative,92
Austria,2017,Mini Cars,Diesel,3119
Austria,2017,Mini Cars,Electric,260
Austria,2017,Mini Cars,Hybrid,17
Austria,2017,Mini Cars,Petrol,15769
Austria,2017,Minivans,Alternative,52
Austria,2017,Minivans,Diesel,26147
Austria,2017,Minivans,Electric,277
Austria,2017,Minivans,Hybrid,0
Austria,2017,Minivans,Petrol,10445
Austria,2017,SUVs,Alternative,15
Austria,2017,SUVs,Diesel,61257
Austria,2017,SUVs,Electric,675
Austria,2017,SUVs,Hybrid,859
Austria,2017,SUVs,Petrol,39498
Austria,2017,Small Cars,Alternative,7
Austria,2017,Small Cars,Diesel,3971
Austria,2017,Small Cars,Electric,3290
Austria,2017,Small Cars,Hybrid,370
Austria,2017,Small Cars,Petrol,58432
Austria,2017,Sports Cars,Alternative,0
Austria,2017,Sports Cars,Diesel,196
Austria,2017,Sports Cars,Electric,688
Austria,2017,Sports Cars,Hybrid,17
Austria,2017,Sports Cars,Petrol,1640
Austria,2018,Executive Cars,Alternative,0
Austria,2018,Executive Cars,Diesel,6212
Austria,2018,Executive Cars,Electric,0
Austria,2018,Executive Cars,Hybrid,159
Austria,2018,Executive Cars,Petrol,919
Austria,2018,Large Cars,Alternative,24
Austria,2018,Large Cars,Diesel,16410
Austria,2018,Large Cars,Electric,2757
Austria,2018,Large Cars,Hybrid,109
Austria,2018,Large Cars,Petrol,4093
Austria,2018,Luxury Cars,Alternative,0
Austria,2018,Luxury Cars,Diesel,373
Austria,2018,Luxury Cars,Electric,0
Austria,2018,Luxury Cars,Hybrid,291
Austria,2018,Luxury Cars,Petrol,275
Austria,2018,Medium Cars,Alternative,220
Austria,2018,Medium Cars,Diesel,26300
Austria,2018,Medium Cars,Electric,4506
Austria,2018,Medium Cars,Hybrid,427
Austria,2018,Medium Cars,Petrol,35297
Austria,2018,Mini Cars,Alternative,97
Austria,2018,Mini Cars,Diesel,1669
Austria,2018,Mini Cars,Electric,368
Austria,2018,Mini Cars,Hybrid,10
Austria,2018,Mini Cars,Petrol,14376
Austria,2018,Minivans,Alternative,49
Austria,2018,Minivans,Diesel,18725
Austria,2018,Minivans,Electric,95
Austria,2018,Minivans,Hybrid,14
Austria,2018,Minivans,Petrol,8161
Austria,2018,SUVs,Alternative,0
Austria,2018,SUVs,Diesel,52418
Austria,2018,SUVs,Electric,758
Austria,2018,SUVs,Hybrid,1125
Austria,2018,SUVs,Petrol,60500
Austria,2018,Small Cars,Alternative,57
Austria,2018,Small Cars,Diesel,2637
Austria,2018,Small Cars,Electric,2932
Austria,2018,Small Cars,Hybrid,414
Austria,2018,Small Cars,Petrol,56741
Austria,2018,Sports Cars,Alternative,0
Austria,2018,Sports Cars,Diesel,203
Austria,2018,Sports Cars,Electric,338
Austria,2018,Sports Cars,Hybrid,31
Austria,2018,Sports Cars,Petrol,1608
Austria,2019,Executive Cars,Alternative,0
Austria,2019,Executive Cars,Diesel,5112
Austria,2019,Executive Cars,Electric,0
Austria,2019,Executive Cars,Hybrid,269
Austria,2019,Executive Cars,Petrol,579
Austria,2019,Large Cars,Alternative,18
Austria,2019,Large Cars,Diesel,12081
Austria,2019,Large Cars,Electric,3203
Austria,2019,Large Cars,Hybrid,143
Austria,2019,Large Cars,Petrol,2704
Austria,2019,Luxury Cars,Alternative,0
Austria,2019,Luxury Cars,Diesel,306
Austria,2019,Luxury Cars,Electric,0
Austria,2019,Luxury Cars,Hybrid,178
Austria,2019,Luxury Cars,Petrol,165
Austria,2019,Medium Cars,Alternative,192
Austria,2019,Medium Cars,Diesel,28187
Austria,2019,Medium Cars,Electric,2248
Austria,2019,Medium Cars,Hybrid,805
Austria,2019,Medium Cars,Petrol,28668
Austria,2019,Mini Cars,Alternative,71
Austria,2019,Mini Cars,Diesel,1037
Austria,2019,Mini Cars,Electric,353
Austria,2019,Mini Cars,Hybrid,128
Austria,2019,Mini Cars,Petrol,22131
Austria,2019,Minivans,Alternative,51
Austria,2019,Minivans,Diesel,17206
Austria,2019,Minivans,Electric,93
Austria,2019,Minivans,Hybrid,142
Austria,2019,Minivans,Petrol,7007
Austria,2019,SUVs,Alternative,0
Austria,2019,SUVs,Diesel,48443
Austria,2019,SUVs,Electric,2135
Austria,2019,SUVs,Hybrid,1889
Austria,2019,SUVs,Petrol,59332
Austria,2019,Small Cars,Alternative,109
Austria,2019,Small Cars,Diesel,2259
Austria,2019,Small Cars,Electric,3329
Austria,2019,Small Cars,Hybrid,761
Austria,2019,Small Cars,Petrol,53952
Austria,2019,Sports Cars,Alternative,0
Austria,2019,Sports Cars,Diesel,245
Austria,2019,Sports Cars,Electric,492
Austria,2019,Sports Cars,Hybrid,45
Austria,2019,Sports Cars,Petrol,4788
Austria,2020,Executive Cars,Alternative,0
Austria,2020,Executive Cars,Diesel,2827
Austria,2020,Executive Cars,Electric,0
Austria,2020,Executive Cars,Hybrid,258
Austria,2020,Executive Cars,Petrol,375
Austria,2020,Large Cars,Alternative,11
Austria,2020,Large Cars,Diesel,8073
Austria,2020,Large Cars,Electric,3486
Austria,2020,Large Cars,Hybrid,396
Austria,2020,Large Cars,Petrol,1333
Austria,2020,Luxury Cars,Alternative,0
Austria,2020,Luxury Cars,Diesel,178
Austria,2020,Luxury Cars,Electric,0
Austria,2020,Luxury Cars,Hybrid,98
Austria,2020,Luxury Cars,Petrol,75
Austria,2020,Medium Cars,Alternative,156
Austria,2020,Medium Cars,Diesel,17592
Austria,2020,Medium Cars,Electric,1357
Austria,2020,Medium Cars,Hybrid,635
Austria,2020,Medium Cars,Petrol,18280
Austria,2020,Mini Cars,Alternative,243
Austria,2020,Mini Cars,Diesel,1123
Austria,2020,Mini Cars,Electric,2672
Austria,2020,Mini Cars,Hybrid,357
Austria,2020,Mini Cars,Petrol,11467
Austria,2020,Minivans,Alternative,40
Austria,2020,Minivans,Diesel,13395
Austria,2020,Minivans,Electric,3732
Austria,2020,Minivans,Hybrid,264
Austria,2020,Minivans,Petrol,9498
Austria,2020,SUVs,Alternative,51
Austria,2020,SUVs,Diesel,36291
Austria,2020,SUVs,Electric,4231
Austria,2020,SUVs,Hybrid,2748
Austria,2020,SUVs,Petrol,40969
Austria,2020,Small Cars,Alternative,50
Austria,2020,Small Cars,Diesel,1515
Austria,2020,Small Cars,Electric,4761
Austria,2020,Small Cars,Hybrid,940
Austria,2020,Small Cars,Petrol,37945
Austria,2020,Sports Cars,Alternative,0
Austria,2020,Sports Cars,Diesel,3784
Austria,2020,Sports Cars,Electric,611
Austria,2020,Sports Cars,Hybrid,245
Austria,2020,Sports Cars,Petrol,2561
Austria,2021,Executive Cars,Alternative,0
Austria,2021,Executive Cars,Diesel,1993
Austria,2021,Executive Cars,Electric,65
Austria,2021,Executive Cars,Hybrid,433
Austria,2021,Executive Cars,Petrol,389
Austria,2021,Large Cars,Alternative,66
Austria,2021,Large Cars,Diesel,7480
Austria,2021,Large Cars,Electric,9424
Austria,2021,Large Cars,Hybrid,624
Austria,2021,Large Cars,Petrol,5087
Austria,2021,Luxury Cars,Alternative,0
Austria,2021,Luxury Cars,Diesel,97
Austria,2021,Luxury Cars,Electric,4
Austria,2021,Luxury Cars,Hybrid,145
Austria,2021,Luxury Cars,Petrol,94
Austria,2021,Medium Cars,Alternative,153
Austria,2021,Medium Cars,Diesel,12415
Austria,2021,Medium Cars,Electric,1407
Austria,2021,Medium Cars,Hybrid,630
Austria,2021,Medium Cars,Petrol,14835
Austria,2021,Mini Cars,Alternative,108
Austria,2021,Mini Cars,Diesel,2129
Austria,2021,Mini Cars,Electric,4374
Austria,2021,Mini Cars,Hybrid,752
Austria,2021,Mini Cars,Petrol,13367
Austria,2021,Minivans,Alternative,54
Austria,2021,Minivans,Diesel,9894
Austria,2021,Minivans,Electric,2014
Austria,2021,Minivans,Hybrid,340
Austria,2021,Minivans,Petrol,9189
Austria,2021,SUVs,Alternative,9
Austria,2021,SUVs,Diesel,27595
Austria,2021,SUVs,Electric,12244
Austria,2021,SUVs,Hybrid,3493
Austria,2021,SUVs,Petrol,42279
Austria,2021,Small Cars,Alternative,8
Austria,2021,Small Cars,Diesel,803
Austria,2021,Small Cars,Electric,7684
Austria,2021,Small Cars,Hybrid,1251
Austria,2021,Small Cars,Petrol,32079
Austria,2021,Sports Cars,Alternative,0
Austria,2021,Sports Cars,Diesel,4009
Austria,2021,Sports Cars,Electric,2253
Austria,2021,Sports Cars,Hybrid,588
Austria,2021,Sports Cars,Petrol,5251
Austria,2022,Executive Cars,Alternative,0
Austria,2022,Executive Cars,Diesel,3513
Austria,2022,Executive Cars,Electric,331
Austria,2022,Executive Cars,Hybrid,47
Austria,2022,Executive Cars,Petrol,709
Austria,2022,Large Cars,Alternative,17
Austria,2022,Large Cars,Diesel,13291
Austria,2022,Large Cars,Electric,6673
Austria,2022,Large Cars,Hybrid,691
Austria,2022,Large Cars,Petrol,6858
Austria,2022,Luxury Cars,Alternative,0
Austria,2022,Luxury Cars,Diesel,268
Austria,2022,Luxury Cars,Electric,21
Austria,2022,Luxury Cars,Hybrid,113
Austria,2022,Luxury Cars,Petrol,109
Austria,2022,Medium Cars,Alternative,179
Austria,2022,Medium Cars,Diesel,19874
Austria,2022,Medium Cars,Electric,5977
Austria,2022,Medium Cars,Hybrid,1643
Austria,2022,Medium Cars,Petrol,20642
Austria,2022,Mini Cars,Alternative,33
Austria,2022,Mini Cars,Diesel,224
Austria,2022,Mini Cars,Electric,6741
Austria,2022,Mini Cars,Hybrid,814
Austria,2022,Mini Cars,Petrol,12896
Austria,2022,Minivans,Alternative,78
Austria,2022,Minivans,Diesel,11318
Austria,2022,Minivans,Electric,5075
Austria,2022,Minivans,Hybrid,523
Austria,2022,Minivans,Petrol,8156
Austria,2022,SUVs,Alternative,22
Austria,2022,SUVs,Diesel,28216
Austria,2022,SUVs,Electric,27331
Austria,2022,SUVs,Hybrid,2426
Austria,2022,SUVs,Petrol,34258
Austria,2022,Small Cars,Alternative,5
Austria,2022,Small Cars,Diesel,844
Austria,2022,Small Cars,Electric,13001
Austria,2022,Small Cars,Hybrid,2713
Austria,2022,Small Cars,Petrol,30867
Austria,2022,Sports Cars,Alternative,0
Austria,2022,Sports Cars,Diesel,115
Austria,2022,Sports Cars,Electric,2126
Austria,2022,Sports Cars,Hybrid,161
Austria,2022,Sports Cars,Petrol,6629
Belgium,2014,Executive Cars,Alternative,7
Belgium,2014,Executive Cars,Diesel,15473
Belgium,2014,Executive Cars,Electric,0
Belgium,2014,Executive Cars,Hybrid,0
Belgium,2014,Executive Cars,Petrol,839
Belgium,2014,Large Cars,Alternative,66
Belgium,2014,Large Cars,Diesel,45822
Belgium,2014,Large Cars,Electric,0
